Name,Image Link,District,Homepage,Contact Link,Capitol Office,District Office,Vote
Benjamin Allen,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/ALLEN%252C%2520BEN%2520%2528D-26%2529_6.jpg?itok=mtLxm_Xt,24,https://sd24.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD24&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 6610, Sacramento, CA 95814-4900; (916) 651-4024","111 Penn Street, Suite 101, El Segundo, CA 90245; (310) 414-8190",NV
Marie Alvarado-Gil,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/ALVARADO-GIL%252C%2520MARIE%2520%2528D-04%2529_8.jpg?itok=UQsaZJTU,04,https://sr04.senate.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD04&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7240, Sacramento, CA 95814-4900; (916) 651-4004","4364 Town Center Boulevard, Suite 313, El Dorado Hills, CA 95762; (916) 933-8680; 1020 15th Street, Suite 21, Modesto, CA 95354; (209) 576-6001",N
Bob Archuleta,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/ARCHULETA%252C%2520BOB%2520%2528D-30%2529_6.jpg?itok=EKcBuwws,30,https://sd30.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD30&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 6620, Sacramento, CA 95814-4900; (916) 651-4030","12501 Imperial Highway, Suite 110, Norwalk, CA 90650; (562) 406-1001",N
Jesse Arreguín,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/Portrait%2520Arreguin%2520Portrait_0.jpg?itok=nptH1mXA,07,https://sd07.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD07&amp;inframe=N,"Capitol Office, 1021 O Street, Room 6710, Sacramento, CA 95814-4900; (916) 651-4007","1515 Clay Street, Suite 2202, Oakland, CA 94612; (510) 286-1333",Y
Angelique Ashby,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/ASHBY%252C%2520ANGELIQUE%2520%2528D-08%2529_6.jpg?itok=7nfvLr6-,08,https://sd08.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD08&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 8630, Sacramento, CA 95814-4900; (916) 651-4008","1020 N Street, Room 568, Sacramento, CA 95814; (916) 651-1529; 1510 14th Street, Sacramento, CA 95814; (916) 319-0309",Y
Josh Becker,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/BECKER%252C%2520JOSH%2520%2528D-13%2529_6.jpg?itok=wzdr2cBR,13,https://sd13.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD13&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 6520, Sacramento, CA 95814-4900; (916) 651-4013","3525 Alameda de las Pulgas, Menlo Park, CA 94025; (650) 233-2724",Y
Catherine Blakespear,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/BLAKESPEAR%252C%2520CATHERINE%2520%2528D%2520-38%2529_6.jpg?itok=JF_VtXy2,38,https://sd38.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD38&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7720, Sacramento, CA 95814-4900; (916) 651-4038","169 Saxony Road, Suite 209, Encinitas, CA 92024; (760) 642-0809; 24031 El Toro Road, Suite 201A, Laguna Hills, CA 92653; (949) 598-5850",N
Christopher Cabaldon,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/Portrait%2520Cabaldon%2520Portrait_0.jpg?itok=khDt2014,03,https://sd03.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD03&amp;inframe=N,"Capitol Office, 1021 O Street, Room 7320, Sacramento, CA 95814-4900; (916) 651-4003","2721 Napa Valley Corporate Drive, Building 4, 2nd Floor, Napa, CA 94558; (707) 224-1990; 50 D Street, Suite 300, Santa Rosa, CA 95404; (707) 576-2093; 412 G Street, Davis, CA 95616; (530) 750-7913; 420 Virginia Street, Suite 1-C, Vallejo, CA 94590; (707) 551-2389",Y
Anna Caballero,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/CABALLERO%252C%2520ANNA%2520%2528D-14%2529_6.jpg?itok=EqcFwYh2,14,https://sd14.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD14&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7620, Sacramento, CA 95814-4900; (916) 651-4014","2550 Mariposa Mall, Suite 2016, Fresno, CA 93721; (559) 264-3070; 510 West Main Street, Suite E, Merced, CA 95340; (209) 726-5495",Y
Sabrina Cervantes,https://www.senate.ca.gov/sites/senate.ca.gov/files/styles/large/public/media/Portrait%2520Cervantes_0.jpg?itok=KDw938P1,31,https://sd31.senate.ca.gov/,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD31&amp;inframe=N,"Capitol Office, 1021 O Street, Suite 7330, Sacramento, CA 95814-4900; (916) 651-4031","3737 Main Street, Suite 104, Riverside, CA 92501; (951) 680-6750",Y
